"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","temp_mean"
"52",2,2017,1,17,2017-01-17,40,30.9,1023.1,9.6,8.4,14,21,44.1,37,0,0,657,40.55
"53",1,2015,1,12,2015-01-12,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,1,580,36.5
"54",2,2016,1,12,2016-01-12,33,19.1,1015.4,10,7.9,14,NA,50,19.9,0,0,637,34.95
"55",3,2018,1,17,2018-01-17,36,35.2,1024.3,5.5,7.7,14,NA,41,28,0.17,1,611,34.5
"56",2,2019,1,29,2019-01-29,33.8,23.7,1016.7,10,9.6,14,NA,42.1,30,0,0,681,36.05
"57",3,2018,1,10,2018-01-10,31.4,24.2,1029.7,10,6.6,14,NA,42.1,21.9,0,0,687,32
"58",4,2013,1,17,2013-01-17,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,1,491,39
"59",3,2014,1,29,2014-01-29,20.3,10.4,1021.2,6.3,8.1,14,NA,27,17.1,0.02,0,649,22.05
"60",4,2017,1,19,2017-01-19,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,0,610,41
"61",1,2013,1,28,2013-01-28,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,0,507,26.95
"62",3,2019,1,2,2019-01-02,35,23.4,1022.9,10,10.3,14,24.1,55,28,0.61,0,502,41.5
"63",3,2016,1,27,2016-01-27,43,36.7,1014,7.5,9.4,15,NA,48,36,0,0,670,42
"64",5,2015,1,30,2015-01-30,35.1,31.1,1012.2,8.4,8.1,15,NA,41,23,0,0,622,32
"65",7,2013,1,6,2013-01-06,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,0,393,33.55
"66",6,2016,1,30,2016-01-30,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,0,596,39.5
"67",2,2013,1,15,2013-01-15,42.3,38.3,1023.1,9.5,8,15,NA,48.9,39,0.24,0,516,43.95
"68",4,2018,1,18,2018-01-18,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,0,634,34.95
"69",7,2017,1,22,2017-01-22,43.2,40.4,1008.1,4.5,8.4,15,21,53.1,39,0,1,411,46.05
"70",7,2017,1,29,2017-01-29,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,0,428,38.5
"71",1,2017,1,16,2017-01-16,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,0,477,32
"72",5,2018,1,19,2018-01-19,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,0,599,29.05
"73",1,2017,1,30,2017-01-30,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,0,545,33.55
"74",2,2014,1,14,2014-01-14,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,1,559,38.45
"75",5,2014,1,31,2014-01-31,33.7,26.7,1020.9,9.9,9.1,15,19,37.4,28.9,0,0,560,33.15
"76",6,2019,1,26,2019-01-26,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,0,533,29.45
"77",5,2015,1,23,2015-01-23,31.6,20.4,1022.8,10,10.4,15.9,NA,39,27,0.09,0,598,33
"78",3,2014,1,15,2014-01-15,41.1,38.4,1013.3,6.5,6,15.9,24.1,48.9,32,0.62,0,583,40.45
"79",6,2013,1,26,2013-01-26,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,0,558,24.95
"80",3,2013,1,2,2013-01-02,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,0,480,27.5
"81",1,2013,1,14,2013-01-14,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,1,542,48.2
"82",2,2020,1,21,2020-01-21,27.8,15.2,1026.8,10,11.5,15.9,NA,34,21.9,0,0,554,27.95
"83",4,2014,1,30,2014-01-30,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,0,657,19.95
"84",6,2016,1,9,2016-01-09,45.9,38.6,1022.7,10,9.3,15.9,21,50,30.9,0,0,554,40.45
"85",5,2014,1,24,2014-01-24,14.8,-0.5,1022.4,10,11.8,15.9,22.9,23,9,0,0,705,16
"86",4,2019,1,17,2019-01-17,29.4,15,1024.6,10,11.2,17.1,25.1,43,19,0,0,586,31
"87",2,2014,1,28,2014-01-28,22.2,-1.3,1020.6,10,10.7,17.1,25.1,45,17.1,0,0,504,31.05
"88",6,2020,1,18,2020-01-18,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19,0,1,773,26.05
"89",7,2018,1,14,2018-01-14,27,21.7,1028.8,10,14.5,17.1,25.1,30.9,24.8,0.01,0,494,27.85
"90",5,2020,1,10,2020-01-10,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50,21,0,0,520,35.5
"91",2,2016,1,26,2016-01-26,42.2,36.4,1021.5,9.1,11.1,17.1,NA,48.2,28.9,0,0,734,38.55
"92",4,2015,1,15,2015-01-15,35.8,33.6,1015.5,2.8,14.1,17.1,24.1,37.9,28,0.03,0,548,32.95
"93",3,2016,1,6,2016-01-06,33.5,19.3,1033.1,10,8.3,17.1,NA,45,21,0,0,625,33
"94",2,2020,1,28,2020-01-28,39.4,28.8,1005.1,10,9.8,17.1,21,45,36,0,0,404,40.5
"95",2,2013,1,8,2013-01-08,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,0,513,36.5
"96",4,2018,1,25,2018-01-25,28,12.4,1021.1,10,13.2,17.1,24.1,44.1,23,0,0,602,33.55
"97",6,2017,1,21,2017-01-21,42.3,37.5,1011.3,6.7,7.5,17.1,20,46,37,0,1,475,41.5
"98",5,2016,1,1,2016-01-01,41.2,28,1015.1,9.8,10.2,17.1,24.1,44.1,37.4,0.43,0,393,40.75
"99",1,2013,1,7,2013-01-07,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,0,521,35.05
"100",3,2020,1,29,2020-01-29,35.3,22.5,1013.1,10,12.9,17.1,22.9,43,30,0,0,491,36.5
"101",6,2015,1,3,2015-01-03,34.5,19.8,1033.9,9.5,11.1,17.1,26,45,30,0,0,456,37.5
"102",3,2014,1,8,2014-01-08,18.2,5,1028.1,10,12,17.1,26,34,12,0,0,616,23
"103",7,2019,1,27,2019-01-27,35.1,28.2,1021.8,9.9,7.8,17.1,NA,44.1,21,0,0,445,32.55
"104",7,2016,1,31,2016-01-31,45,39,1014.8,8.6,12.5,17.1,24.1,50,34,0,0,532,42
"105",1,2014,1,27,2014-01-27,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,0,511,33
"106",6,2015,1,10,2015-01-10,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,0,481,25.95
"107",5,2019,1,4,2019-01-04,39,30.2,1014.4,9.8,9.9,18.1,26,46.9,30.9,0.01,0,598,38.9
"108",1,2020,1,27,2020-01-27,40.1,33.8,1004.3,10,10.5,18.1,24.1,51.1,36,0.01,0,451,43.55
"109",4,2013,1,3,2013-01-03,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,0,549,22.45
"110",1,2017,1,9,2017-01-09,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,0,669,21.55
"111",5,2019,1,11,2019-01-11,28.6,13.4,1013.9,10,14.2,18.1,26,37,26.1,0,0,644,31.55
"112",6,2018,1,27,2018-01-27,36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,0,510,31.55
"113",1,2018,1,1,2018-01-01,9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,0,454,13
"114",6,2017,1,14,2017-01-14,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,0,495,37.5
"115",4,2017,1,26,2017-01-26,44.3,39.9,997.4,9,9.7,18.1,24.1,50,37.9,0.02,0,563,43.95
"116",7,2018,1,28,2018-01-28,43.4,43.2,1025.3,4.4,9.5,18.1,NA,46,28.9,0.01,1,412,37.45
"117",3,2018,1,31,2018-01-31,25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,0,596,28.45
"118",7,2017,1,1,2017-01-01,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,0,485,43.5
"119",3,2013,1,30,2013-01-30,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,1,497,42.6
"120",3,2019,1,16,2019-01-16,31.3,23.1,1017.3,9.8,9.1,19,26,43,19,0,0,579,31
"121",1,2019,1,28,2019-01-28,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,0,565,36.5
"122",4,2019,1,3,2019-01-03,39.4,32.9,1015.6,9.5,9.2,19,24.1,46.9,28,0,0,504,37.45
"123",5,2015,1,2,2015-01-02,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,0,442,36.5
"124",2,2019,1,8,2019-01-08,36.3,30.8,1025.7,6.7,9.3,19,NA,46.9,21.9,0,1,571,34.4
